Organisation Name,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Eden Renewables,,https://communityenergyengland.org/files/img_cache/2196/340_260_1675430332_EdenLogo.png?1675430460,,,,,
Eden Renewables (London Office),https://uk.edenrenewables.com/,https://communityenergyengland.org/files/img_cache/2196/340_260_1675430332_EdenLogo.png?1675430460,"Since 2010, the Eden Renewables team has led the industry with renewable energy and storage projects with a positive impact on the local environment and the communities that host them.",,SN8 2DP,51.473986,-1.614589
Egni Co-operative,https://aat.cymru/egni/,https://climate.cymru/wp-content/uploads/2023/03/Untitled-design-80-768x768.png,"We generate clean energy, enabling our sites to take action on climate change and to be more financially stable. In 2022, we saved our sites over £119k in electricity costs and over 1,000 tonnes of carbon emissions. Through our co-op share offer, we also give people the chance to invest their money towards a more sustainable future and get a fair rate of return. All surplus is channelled into our climate change Education programme.","76 - 78 Heol Gwilym
Cwmllynfell, Swansea, Neath Port Talbot",SA9 2GN,51.800904,-3.820471
Electricity North West,,https://communityenergyengland.org/files/img_cache/1917/340_260_1668590682_ENWLlogo.PNG?1668590698,,,PR1 8AF,53.75588,-2.715391
Empowered Projects Ltd,https://www.empoweredprojects.co.uk/,https://communityenergyengland.org/files/img_cache/2735/340_260_1742571892_EmpowerLogo_RGB.png?1742571914,"Whether you call it green, clean, or fossil-free we’re here to help you to make the most of renewable energy. 

There’s never been a better time to turn your land into a real asset, or to become a local generator or deliver savings you can be proud of. The benefits are all positive, good for the next generation, your balance sheet, our communities, and our planet.

Our mission is in our name, we empower individuals, companies, communities, and landowners with the practical, commercial, development, planning and technical advice needed to seize this remarkable opportunity.

We want to give you the power to make better decisions for everyone’s future. ",,SN13 9BL,51.431208,-2.187694
en10ergy,http://en10ergy.org.uk/,https://communityenergyengland.org/files/img_cache/2199/340_260_1675430515_eng10.png?1675430535,"En10ergy Limited is a social enterprise (a Registered Society under the FCA Mutuals Registration) set up by the Muswell Hill Sustainability Group and is a member of Community Energy London and Community Energy England.  We have two main aims:

- to promote and invest in local renewable energy
- to encourage and facilitate the reduction in carbon emissions and waste by households, businesses and community buildings in the Muswell Hill. Hornsey and Wood Green areas.",,N17 8LG,51.606073,-0.082105
Enborne Parish Field Charity,http://www.enborne.org.uk/Enborne_Parish_Field_Charity_Solar_Farm_17060.aspx,,,,RG14 6TW,51.379203,-1.352901
Energise Barnsley,http://www.energisebarnsley.co.uk/,https://communityenergyengland.org/files/img_cache/2198/340_260_1675430452_EB_logo-400px.png?1675430460,"Energise Barnsley has been setup with Barnsley Metropolitan Borough Council to deliver community owned renewable energy and heating projects across the borough.

Energise Barnsley has been developed through the partnership of several organisations and individuals who are collectively working together to help deliver lasting social impact across the Barnsley area.",,S70 9GG,53.551636,-1.482799
Energise South Downs,https://energisesouthdowns.org.uk/,https://communityenergyengland.org/files/img_cache/2317/340_260_1682496097_EnergiseSouthDowns.jpg?1682496128,"Community energy schemes help to deliver carbon reduction and energy security along with reduced and more predictable costs. Energise South Downs is your community partner for the delivery of sustainable energy solutions in the SDNP and surrounding areas.

The primary activities of Energise South Downs are:

- facilitating renewable generation in business, public sector, agricultural and community spaces
- demand reduction and efficiency programmes
- carbon literacy and energy advisory services
- building a network of community energy groups across the region

Community energy also includes a variety of initiatives including community heating schemes, domestic energy advice and group purchasing schemes where our growing network of affiliated local groups is increasingly active.","44 Pulens Crescent, Petersfield, Hampshire",GU31 4DH,51.007284,-0.916807
Energise South Society Limited,https://energisesouth.coop/,https://communityenergyengland.org/files/img_cache/2046/340_260_1669910952_Energise_South_Logo_final002.png?1669918489,"Energise South is a community benefit society created to develop community-funded solar energy to benefit the people of East Sussex.

Since we launched Energise South in September 2019 we have installed solar PV systems on 10 sites, including schools, community buildings and local businesses.",,TN38 0LA,50.85521,0.55306
Energise Sussex Coast,http://energisesussexcoast.co.uk,https://communityenergyengland.org/files/img_cache/2042/340_260_1669909976_ESC_FINAL_LOGO_colour.jpg?1669918489,Working together to end fuel poverty and protect the environment through community led green power and energy saving schemes in East Sussex,"St Leonards, Saint Leonards-on-sea",TN38 0LA,50.855182,0.553105
Energize Stur Valley,,https://communityenergyengland.org/files/img_cache/2200/340_260_1675430621_dorest-energized-logo.png?1675430625,,,,,
Energy Alton,http://energyalton.org.uk/,https://communityenergyengland.org/files/img_cache/2018/340_260_1669908017_highresenergyaltonlogoweb.jpg?1669918489,"Community group Energy Alton (EA) energyalton.org.uk has been in operation for ten years, and aims to help people reduce energy costs, increase comfort and well-being, reduce fossil fuels and promote renewables.  Energy Alton has previously run a high street advice centre, offered free loft insulation and installed 10 kws of solar PV on the roof of Alton library.","25 Yellowhammers, Alton, Hampshire, England",GU34 2JR,51.159104,-0.974776
Energy Garden,http://energygarden.org.uk/,https://communityenergyengland.org/files/img_cache/2045/340_260_1669910887_Energygarden.png?1669940949,Energy Garden supports communities to deliver gardens and community energy projects in London. Come get involved!,,SW1W 8DX,51.489236,-0.149892
Energy Heroes CIO,https://energy-heroes.org.uk/,https://communityenergyengland.org/files/img_cache/2055/340_260_1671200176_Energy-Heroes-350.jpg?1671226903,"Our vision is to enable school communities across the UK to become models of Energy Efficiency

- To improve data handling and problem solving skills for pupils in Year 5
- To encourage a responsible attitude and desire for low carbon living
- To help communities across the UK understand the benefits of reducing CO2 emissions
- To empower energy users across the UK to reduce their fuel bills","53 Ashley Road, Altrincham, Cheshire",WA14 2DP,53.383026,-2.351992
Energy Local Bridport,https://www.dorsetcommunityenergy.org.uk/projects/energy-local-bridport/,https://communityenergyengland.org/files/img_cache/2820/340_260_1736514520_EnergyLocalBridportLogo.jpg?1736560714,"Energy Local Bridport - The first Energy Local Club in England has started in Dorset.

Energy Local Clubs are a pioneering initiative developed by the not-for-profit organisation Energy Local CIC. Energy Local Clubs enable trading of renewable energy between generators and consumers at a local level.

The Bridport Club will initially allow householders in the Bridport area to purchase the electricity generated by the 50kW wind turbine at Salway Ash.  If the Club is successful, we have plans to extend the Club by adding PV generation into the mix in Phase 2.",,DT1 1JU,50.715215,-2.432607
Energy Local CIC,https://energylocal.org.uk/,https://energylocal.org.uk/themes/custom/energylocal/energylocal_logo_120.png,"Energy Local is transforming the electricity market for communities and small-scale renewable generators. Our mission is to help communities get more value from small-scale renewable generation by using the electricity locally.

How? Energy Local has designed a means for local people to benefit from local energy through Energy Local Clubs. This enables households to club together and show they are using local, clean power when it is generated. They agree upon a better price for local generators and reduce their bills. It reflects local renewables’ true value and keeps more money local.",,SA39 9DH,52.035649,-4.211306
Energy Prospects Co-operative,https://www.energyprospects.coop/,https://communityenergyengland.org/files/img_cache/2043/340_260_1669910036_Energyprospects.png?1669940949,"Energy Prospects aim is to raise capital to enable more community renewable energy projects of the sort promoted by Energy4All to happen, and aims, from the fees it charges to successful projects, to deliver a reasonable income return to EP Members.",,LA14 2PN,54.118489,-3.24165
Energy4All,http://energy4all.co.uk,https://communityenergyengland.org/files/img_cache/2056/340_260_1671200252_energy4all.jpg?1671218453,"Energy4All is the leading facilitator of community-owned renewable energy projects in the UK. We support a family of 30+ independent renewable-energy co-operatives, which combined have more than 19,000 individual members.

Founded by the Baywind Energy Co-operative (the UK’s first renewable energy co-operative) in 2002, Energy4All demonstrates the power of co-operation in the renewables sector. We:

- Work with communities to develop innovative renewable energy projects
- Raise the funds those projects need to go forward 
- Bring high-quality project managers to support the construction process 
- Work with directors to help them manage the projects over the long-term

We provide support for all forms of renewable energy co-ops in the UK: wind power, rooftop and ground-mounted solar PV, hydropower and biomass.",,LA14 2PN,54.118489,-3.24165
Environmental Smart,https://www.environmental-smart.co.uk/,https://communityenergyengland.org/files/img_cache/2057/340_260_1671200330_environmental_smart_main-204w.png?1671226903,"Environmental Smart is an impact driven Community Interest Company (CIC), working with communities, individuals and organisations build resilience, adapt and mitigate the impacts of climate change.

Our focus is on community renewable energy production and decarbonisation projects with circular economy, citizen science , community engagement and better place making at our core and being a impact led company we can focus on new and emerging technologies and innovations to decarbonise electricity, heating and cooling and build back nature.","7 Beech View, Great Habton, Malton",YO17 6TX,54.177455,-0.839327
Essex County Council,https://www.essex.gov.uk/planning-land-and-recycling/energy-climate-and-environment,https://communityenergyengland.org/files/img_cache/2459/340_260_1695735103_EssexCC.png?1695746150,,,CM1 1QH,51.734973,0.469597
Ethex,http://ethex.org.uk,https://communityenergyengland.org/files/img_cache/2041/340_260_1688546087_Ethex2023.png?1688546105,Ethex helps everyday people make ethical investments that fund extraordinary UK organisations. Make your money a powerful tool for change and get a fair return.,,OX4 1JE,51.748316,-1.239064
Exeter Community Energy,http://ecoe.org.uk,https://communityenergyengland.org/files/img_cache/1930/340_260_1668595223_ECoE.png?1668595230,"As a community-owned organisation, we want to benefit the city, its people and the environment. One element of this is sharing the financial benefits between shareholders. Similarly, we have a fund for community projects and investment in further energy projects.",,EX4 3PL,50.725772,-3.52906
Fal Energy Partnership,http://www.falenergy.co.uk,https://communityenergyengland.org/files/img_cache/2040/340_260_1669909900_Fall_Enegy_Resized.jpg?1669940949,"Fal Energy Partnership (FEP) began as an informal partnership connecting different institutions aimed at developing an integrated sustainable energy action plan for the Falmouth and Penryn Community Network area. This rises out of local concerns on rising energy prices and future energy supply insecurity, solutions to which are local actions to increase local renewable energy supply and reduce energy needs.

FEP became a registered Industrial Provident Society on March 28th 2012, with the aim of local awareness raising on these issues and enabling investments in local renewable energy supply projects as well as supporting improved energy efficiency. In line with changes instituted by the Financial Conduct Authority, in 2016 we became a ‘Registered Society’.

As a Social Enterprise, FEP will return any profits, after investor returns, to be reinvested in local sustainable energy projects.",,TR3 6LN,50.228698,-5.089347
Fit for the Future,http://fftf.org.uk,https://communityenergyengland.org/files/img_cache/2039/340_260_1669909848_FitForTheFuture_Logo.png?1669940965,"Fit for the Future is an environmental sustainability network with over 250 charities, heritage organisations, cultural venues, public sector bodies and more in its membership. We facilitate knowledge-sharing and collaboration across organisations and sectors so that they can achieve the rapid and far-reaching changes needed to decarbonise, adapt to climate change and drive positive environmental impacts.",,WC2R 0BU,51.510288,-0.119507
Five Acres Community Garden,http://www.fiveacres.uk/,https://communityenergyengland.org/files/img_cache/2532/340_260_1705417043_FiveAcresCommunityGarden.jpg?1705437996,"Five Acres Community Gardens CIC was founded by Debbie and Gavin Iceton and officially opened in May 2021 after months of careful planning and dedication.

While running their transport business, Debbie and Gavin became increasingly aware of the significant reduction in services available for young adults with additional needs. Recognizing the growing gap in opportunities, they were inspired to create a unique space where young adults could develop essential social, independent living, and employability skills.

Their vision was to transform a five-acre field they owned into a thriving agricultural and horticultural centre, offering a hands-on, practical approach to learning. They believed that working with nature would provide a meaningful and engaging way for young adults to build confidence, gain new skills, and enhance their future prospects.",,DL5 6XN,54.601212,-1.571964
Forest Community Energy,https://forestcommunityenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2896/340_260_1744804362_ForestCommunityenergy.jpg?1744817614,"AURORA Forest of Dean is a partnership between Forest of Dean District Council, the Centre for Sustainable Energy and local resident-led Forest Community Energy. We are building a community owned solar installation on a local community asset and public building, launching an energy awareness and carbon footprint app, and running local events to get residents engaged in energy saving behaviours. ","Forest Energy Community Initiative, Council Offices, High Street, Coleford, Gloucestershire",GL16 8HG,51.792096,-2.618472
Forest Row Energy,http://forestrowenergy.com,https://communityenergyengland.org/files/img_cache/2037/340_260_1669909783_forest-row-energy.png?1669940965,"Forest Row Energy is creating a self-sufficient, energy efficient community powered by renewable energy. We are a not for profit co-operative that is based in Forest Row, East Sussex and serves Forest Row and the surrounding towns and villages.","8 Gage Ridge, Forest Row, East Sussex",RH18 5HL,51.092688,0.031374
Forum for the Future,https://www.forumforthefuture.org/,https://communityenergyengland.org/files/img_cache/2036/340_260_1669909163_ForumForFuture.png?1669940965,"We are a leading international sustainability organisation, working with business, governments and civil society to accelerate the shift toward a sustainable future. We specialise in addressing critical global challenges by catalysing change in key systems, from food to apparel, energy to shipping.",,EC2A 4QE,51.523241,-0.084189
Four Winds Energy Cooperative Limited,https://www.fourwinds.coop/,https://communityenergyengland.org/files/img_cache/1936/340_260_1668615105_FourWindsCE.png?1668636483,"Location: Two turbines, one near Duckmanton near Chesterfield and one between Grimethorpe and Cudworth called Shafton Turbine. Both located on former colliery sites.

Community Share Offer: We raised £3.4m through a share offer in Summer 2014.

Aims: To combat climate change by financing a reliable source of renewable energy, provide local people and other investors with a stable, reliable source of income, and help the area transition to a low carbon future economy.

Local Community: The wind turbines provide a number of associated benefits for the area. These include boosting the local economy by making sure profits stay in the area, contributions to community initiatives and local business rates paid.",,S44 5HE,53.24704,-1.34048
Friends of the Earth,http://foe.co.uk,https://communityenergyengland.org/files/img_cache/2059/340_260_1675866031_FoE.png?1675866051,Friends of the Earth is an environmental campaigning community dedicated to the wellbeing and protection of the natural world and everyone in it.,,SW9 0HP,51.476189,-0.117885
Furzedown Low Carbon Zone,http://flcz.weebly.com/,https://communityenergyengland.org/files/img_cache/2038/340_260_1669909820_FLCZ_banner_green_large.jpg?1669941562,"Furzedown Low Carbon Zone (FLCZ) aims to make Furzedown a more sustainable place to live by reducing reliance on traditional resources. 

Our Values are:

- promoting energy efficiency
- promoting sustainability
- promoting our environment
- promoting health and well-being
- promoting education
- supporting communities",,SW16 6NA,51.422584,-0.14326
Genfit,,https://communityenergyengland.org/files/img_cache/2840/340_260_1737723038_FullResLogo1.jpg?1737738232,"Genfit are an affordable and trusted solar panel & battery installers with over 20 years of experience, specialising in SolarEdge and Tesla installations.",,CH1 4QL,,
Gloucestershire Community Energy Co-op,https://gloscommenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2034/340_260_1669909018_GCEC.png?1669941562,"GCEC has completed solar PV projects at City Works in Gloucester, and the Minchinhampton Primary Academy and Community Hub buildings. Now on a strong financial and legal footing, we are turning our attention to finding new projects within Gloucestershire.

The aims of the GCEC are to enable local communities and individuals to take part in exciting renewable energy schemes across the county, and to encourage energy saving initiatives. By installing solar panels on community buildings, and developing suitable sites for wind and hydro schemes, GCEC aims to give everyone in Gloucestershire a chance to benefit from low carbon, locally generated electricity.",,GL1 4DF,51.858198,-2.230604
Gower Power Community Co-op,http://gowerpower.coop,https://communityenergyengland.org/files/img_cache/2031/340_260_1669908665_Gower-Power-Logosq.png?1669941562,"We develop renewable energy projects, we put those projects into community ownership and provide administration services.

We use our profits, expertise and networks to help other ecologically and socially focused enterprises get off the ground and maximise their impact.

Gower Power is a Community Benefit Society owned and controlled by its members. We currently have 44 individual members, all of which live in or around Swansea. ",,SA3 2EP,51.580773,-4.101159
Grand Union Community Energy,https://www.facebook.com/guceltd/,https://communityenergyengland.org/files/img_cache/2026/340_260_1669908353_GUCE.png?1669941562,Grand Union Community Energy is a Community Benefit Society (registration no. 32056R) whose purpose is to improve local community resilience in the face of increasing energy costs and climate change.,"c/o Sunnyside Rural Trust, Civic Centre, 161 - 163 High Street, Berkendstead, Hertfordshire",HP4 3HD,51.759965,-0.564192
Greater Manchester Community Renewables Ltd,http://gmcr.org.uk,https://communityenergyengland.org/files/img_cache/2030/340_260_1669908630_GreaterManchesterCommunityRenewables.png?1669941562,"Greater Manchester Community Renewables Limited (GMCR) is a community benefit society, set up and run by volunteers to install community-owned renewable energy across Greater Manchester.

We raise funds to install solar panels on schools and community buildings, helping them save money, reduce their carbon footprint, and inspire children and the community to learn about energy and climate change.",,M4 1LE,53.483356,-2.234089
Green Fox Community Energy,https://greenfoxcommunityenergy.org/,https://communityenergyengland.org/files/img_cache/2029/340_260_1669908593_GreenFox.png?1669960312,"Green Fox Community Energy (Green Fox) is Leicester and Leicestershire's very own community energy non profit organisation. Established by local people, we aim to facilitate the increase of community owned renewable and low carbon technology in Leicester and Leicestershire.

Green Fox are constantly developing new projects and opportunities within the community energy sector and would love to hear from you if you would like to explore a potential project, or are just interested in community energy.","11 Cooden Ave, Leicester",LE3 0JS,52.63048,-1.160178
Green Heat Coop,https://www.greenheatcoop.co.uk/,https://communityenergyengland.org/files/img_cache/2219/340_260_1675866144_GreenHeat.png?1675866593,"We are committed to supporting homeowners in North Herts and South Cambs on their journey toward more energy-efficient, comfortable, and low-carbon homes. Our focus is on consumer education, personalised support, and community partnerships. As a cooperative, we believe in a collaborative, locally-driven approach and welcome involvement from residents, professionals, and councils.","58 Honey Way, Royston",SG8 7EU,52.049578,-0.013819
Green Rose Community Interest Company,https://greenrose.org.uk/,https://communityenergyengland.org/files/img_cache/2028/340_260_1669908552_GreenRoseCE.jpg?1669960312,"We are a social enterprise based in North Lancashire offering households free advice and support with energy issues across all 14 districts of Lancashire. Our aims are to help people stay warm and well, and to make homes more sustainable!", and to make homes more sustainable!,SK9 5AF,53.325524,-2.236049
Green Triangle,,,,,,,
Greensand Community Energy Ltd,https://www.greensandenergy.org/,https://communityenergyengland.org/files/img_cache/2678/340_260_1720427284_GreensandCEScreenshot2024-07-08092532.png?1720427299,"Our Aim: to reduce our carbon footprint by creating community-owned renewable generation schemes, running low carbon initiatives, and sharing energy saving advice.

- Renewable generation schemes
- Low carbon initiatives
- Share energy saving advice","46 Cedar Close, Ampthill, Bedford",MK45 2UD,52.024856,-0.492001
Grimsby Community Energy,https://grimsbycommunityenergy.coop/,https://communityenergyengland.org/files/img_cache/2027/340_260_1669908392_grimsby.jpg?1669960312,"Launched in 2016 by a committed group of people determined to deliver locally owned community energy. Award-winning Grimsby Community Energy is a community benefit society (CBS), a form of not-for-profit cooperative owned and run by local people that works for the benefit of the community.

Over the last eight years we have raised over £894,000 of investment to deliver renewable energy across Grimsby, Cleethorpes and North East Lincolnshire, installing 697kW of solar PV (photovoltaic) panels for community organisations, generating 1.14GWh of clean electricity and saving 279t of CO2.

This place-based approach to energy generation means local community organisations pay less for their energy and everyone who invests in Grimsby Community Energy has a vote in the running of our society. We are proud to have kept our promises to our investors and our community, ensuring we pay members a fair rate of return and creating wider community benefits, including creating jobs and establishing a community fund.

Our team have worked hard to develop our business but there is so much more we can do with your support. We appreciate grant funding from Co-operatives UK Booster Fund, NELC's UK Shared Prosperity Fund, and the REACH Fund.",,DN32 7DS,53.57216,-0.074543
Gwent Energy CIC,http://gwentenergycic.org,https://communityenergyengland.org/files/img_cache/2025/340_260_1669908302_GwentEnergyCIC.png?1669960312,"Gwent Energy is a community interest company that helps individuals, communities and small businesses to benefit from renewable energy.

As well as saving your money on your energy bills, we also help reduce your carbon emissions.

Our journey began in 2008, helping local communities in Monmouthshire to fund, build and own community wind turbine projects. However, we began getting more and more inquiries for community owned solar installation projects.

We've installed more than 500 hundred solar PV systems for homes, communities and businesses -  we're pretty good at it now!","16 Larkfield Park, Chepstow",NP16 5QY,51.636354,-2.68166
Hackney Council - Hackney Light and Power,https://hackney.gov.uk/hackney-light-and-power,https://communityenergyengland.org/files/img_cache/2861/340_260_1740568857_HackneyLightPower.jpg?1740568864,"Hackney Light and Power is our clean energy services team. Through it, we install renewable energy and improve energy efficiency across Hackney.

We oversee a variety of projects and are currently working on 6 initiatives across Hackney. These are:

- Solar power on council-owned roofs
- Electric vehicle charging points with discounted tariffs for Hackney residents
- District heat networks expansion
- Community Energy Fund
- Green homes small grants programme
- HEAT (Hackney Energy Advice Team) offering energy saving advice sessions",,E8 1DY,51.54532,-0.057953
Hadleigh Environmental Action Team (HEAT),https://www.hadleighheat.org/,https://communityenergyengland.org/files/img_cache/2800/340_260_1733143485_HadleighEnvironmentActionTeam.png?1733143488,"The Hadleigh Environmental Action Team was set up 5 years ago, and today we have over 300 supporters.

HEAT is working to help people and organisations in Hadleigh (Suffolk) to always take climate change, and the resilience of the natural world, into account when they make decisions. HEAT is run by a core group of six to eight people who plan what we do and organise events, secure funding and lead projects.

We welcome different views whilst remaining united in a concern for the climate and the environment. We involve local experts (professionals and amateur) who bring expertise in climate change, ecology and botany and policy making. 

HEAT participates in the monthly Hadleigh Community Forum and works with Hadleigh Town Council, Babergh District Council, Suffolk Climate Partnership and many other local organisations. We also have a stand at the annual Hadleigh Show in May and a monthly update in the Hadleigh Community News.

In May 2024, HEAT became a Community Interest Company (CIC) which means that we can apply for larger amounts of funding from places like The Lottery. It will mean we will change as an organisation, with subscribing members and directors, and will enable us to take on bigger community projects. ",,IP7 5PE,52.040396,0.951651
Halton Lune Hydro,http://haltonlunehydro.org,https://communityenergyengland.org/files/img_cache/2017/340_260_1669907981_HLH.png?1669960312,,"Rectory Cottage
Foundary Lane, Halton, Lancashire",LA2 6LT,54.077159,-2.764435
Hammersmith & Fulham Community Energy,https://www.repowering.org.uk/hammersmithandfulham/,https://communityenergyengland.org/files/img_cache/2594/340_260_1713529753_HFCE.png?1713563221,"Repowering London has worked with Hammersmith and Fulham residents to establish the borough’s first community energy group, Hammersmith & Fulham Community Energy (HFCE). A new community share offer is launching soon, giving you the chance to invest in locally-owned solar energy. Help power a cleaner future, support community projects, and earn a fair return; all while making a real impact where you live.",,SW9 9SP,51.464706,-0.115104
Harborough Energy,http://harboroughenergy.co.uk,https://communityenergyengland.org/files/img_cache/2023/340_260_1669908229_HarbroroughEnergy.png?1669960312,"We are Harborough Energy. We have been helping to provide affordable, clean energy to communities in and around Market Harborough since 2014.

- Our local energy projects offer community investment opportunities that help keep fossil fuels in the ground, as well as reducing energy costs for land and property owners who host our installations.
- Over the years, we have engaged with Harborough District Council and other councils in the region to help tackle fuel poverty by improving awareness and access by eligible residents to ‘Warm / Healthy Homes / ECO Flex’ funding.

We are helping to give Harborough more control over its future energy costs and surety of supply – making it an even better place to live .","The Stables, Ashley Court 32 Main Street, Ashley, Market Harborough, Leicestershire",LE16 8HF,52.510513,-0.831258
Harbury Future Energy CIC,http://www.harburyenergy.co.uk,https://communityenergyengland.org/files/img_cache/2616/340_260_1726233875_HFE.png?1726291423,"We Focus On Saving Energy.

Harbury Future Energy (HFE) began as an EV charging station project for Harbury in 2019. Now that this project has become a reality the project has been incorporated as a Community Interest Company with the aim of continuing and expanding the work of Harbury Energy Initiative (HEI). In November of 2024 HEI officially merged with HFE donating its assets to the new company and providing a strong background for future activity.","27 Brooks Drive, Harbury, Leamington Spa",CV33 9NU,52.2327,-1.45975
HartlePower,http://www.hartlepower.co.uk,"https://static.wixstatic.com/media/4c82ce_98dcc161f99241cdb58a193f59f7f739~mv2.png/v1/crop/x_220,y_297,w_501,h_169/fill/w_510,h_172,al_c,lg_1,q_85,enc_avif,quality_auto/Untitled%20design%20(27).png",Here at HartlePower we have been a part of a number of projects over the years for community benefit,,TS24 7QS,54.681632,-1.212766
Havant Community Energy,http://www.havantcommunityenergy.org/,https://communityenergyengland.org/files/img_cache/2919/340_260_1749124680_havantCE.png?1749155769,"Havant Community Energy (HCE) is a volunteer-led group that will advise, facilitate, promote and invest in renewable energy. We are a non-profit Community Benefit Society.

As we work with the community to reduce energy use we will push to increase alternative energy sources such as rooftop solar—an immediate, visible step toward a cleaner future. We are also examining the viability of innovative solutions like battery storage, small wind turbines, tidal power, and geothermal energy.

It’s an ambitious mission, but with strong local partnerships, real progress is already underway.

Want to be part of the change? Whether you're ready to collaborate, volunteer, or simply want to learn more about community energy, we'd love to hear from you.",,PO9 1QJ,50.850208,-0.998279
HEAL (Home Energy Action Lab),https://instagram.com/home_energy_action_lab,https://communityenergyengland.org/files/img_cache/2184/340_260_1675181942_HEAL.png?1675182055,"Home Energy Action Lab (HEAL), a test bed for community-based domestic retrofit services in Hackney","23 Brownswood Road, Hackney, London",N4 2HP,51.563269,-0.0948
Heart of Devon Community Energy Ltd,https://hofdce.co.uk/,https://communityenergyengland.org/files/img_cache/2185/340_260_1675182049_heartofdeveon.png?1675182055,"Our aim as a group of local residents is to produce clean, locally produced energy and help combat climate change. Our first project is to erect a community-owned wind turbine in the heart of Mid Devon is still at the next stage of planning.

One area was chosen as it is the nearest site to a connecting substation (to take the power generated) and Mid Devon District Council has, in its previous local plan, identified the area as a place suitable for wind power to be generated.

We surveyed residents in 2021 and obtained positive feedback and results. This encouraged us to apply for funding to develop the wind turbine. We were pleased to be awarded first-stage feasibility funds from the Devon County Council Community Energy Fund (CEF) and the West of England Combined Authority Rural Community Energy Fund (RCEF).

We are now registered as a Community Benefit Society – Heart of Devon Community Energy Limited.",,EX17 6SD,50.851077,-3.74915
Heart of England Community Energy Ltd,https://www.hecommunityenergy.org/,https://communityenergyengland.org/files/img_cache/2633/340_260_1717758593_HeartofEnglandCE.png?1717758608,"Heart of England Community Energy Limited is a community benefit society that owns one of the largest community solar farms in the UK. Located just outside Stratford-upon-Avon, our 15-megawatt array, made up of around 60,000 solar panels, has been generating clean and sustainable electricity since 2016!​

Our not-for-profit community energy enterprise is set up to bring the benefits of local energy to the Heart of England region. We empower local people and organisations by enabling them to invest in, control and benefit from local renewable energy generation. Structured as an asset-locked community benefit society, our ownership lies with our members, governed by dedicated local volunteer directors, and registered under the Co-operatives and Community Benefit Societies Act 2014.

​We recycle our profits back into the Heart of England area by supporting local charities and projects with a positive social and environmental impact. We also support initiatives to tackling climate change and poverty in developing countries.",,TR16 5EZ,50.254942,-5.194667
Heart of Hastings,https://hastingscommons.com/,https://communityenergyengland.org/files/img_cache/2021/340_260_1669908158_HeartofHastings.png?1669973578,"We take derelict and difficult buildings around the White Rock area of Hastings into community custody, transforming them into social spaces, homes and workspaces that will always be affordable and open to all.

We celebrate people's ideas and energy and together we shape the places and share the stories of this special, historic neighbourhood.",,TN34 1DT,50.855508,0.576284
Heating Bildeston CIC,https://www.heatingbildeston.uk/,https://lirp.cdn-website.com/4cf12190/dms3rep/multi/opt/hblogofum6-255w.png,"Heating Bildeston is a community company of twelve local residents who have come together to try to greatly reduce our CO2 emissions and our use of fossil fuels to power our homes.

- We've studied which renewable energy solution can provide economic, low, even zero carbon heating and hot water to most homes throughout Bildeston.
- We're working toward a pilot scheme to test the viability of the favoured technology.
- And we're testing the potential of solar energy collection throughout our village.

In short, we're up for studying and trying any green idea that will get us nearer to Net Zero as soon as possible, however many years that might take!","Bildeston House, High Street, Bildeston, Ipswich",IP7 7EX,52.104308,0.909575
Hertford Energy Now,http://www.hertfordenergynow.org.uk,https://communityenergyengland.org/files/img_cache/2020/340_260_1669908083_HertfordEnergyResized.jpg?1669973578,"Hertford Energy Now is a not-for profit organisation which brought the first community-owned power generating scheme to East Herts -  with 25 kilowatts of solar panels at Mill Mead School in Port Vale, Hertford in 2014. In 2016 we completed our second phase which put an additional 33 kilowatts of panels on two more schools in East Herts -  Hunsdon JMI near Ware, and Morgans Primary in Hertford. We opened the share offer in July 2016 and within just two and a half weeks we had raised £47,800. Thanks to our wonderful investors, a bit of help from Hertfordshire County Council, our lovely installers Chelsfield Solar, and a donation or two (Thanks McMullens!) plus a DECC grant from the Urban Community Energy Fund,  we had put up all the panels and they were running by the end of September 2016.The HEN community now consists of 55 people. We could not have done this without our members. Thank you!",,SG14 1LS,51.797139,-0.087467
High Winds Community Energy Soc Ltd,http://www.highwinds.coop/,https://communityenergyengland.org/files/img_cache/2019/340_260_1669908048_HighWinds.png?1669973578,"High Winds is a successful community renewable energy society. It owns and operates two 2.3MW Enercon Wind Turbines at Harlock Hill near Ulverston, Cumbria.

In 2015, with the support from Energy4All, High Winds issued a share offer and raised £4million from its members towards the cost of constructing the wind turbines. Baywind Energy Co-op provided short term funding to complete the construction costs.

High Winds contributes annually to the Baywind Community Energy Fund.",,LA14 2PN,54.118489,-3.24165
