Organisation Name,Type,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
CVS Inverclyde,community-energy-related,https://www.cvsinverclyde.org.uk,https://www.cvsinverclyde.org.uk/wp-content/uploads/2019/04/CVS-Inverclyde-Logo.png,"Supports and develops voluntary action, volunteering, and community organizations in Inverclyde.","100 Dalrymple Street, Greenock",PA15 1BZ,55.947,-4.757
Dalavich Improvement Group,community-energy-group,https://www.dalavichimprovementgroup.org/,Not Found on Website,Works to improve amenities and opportunities for the residents of Dalavich and the surrounding area.,Not Found,PA35 1HN,56.284,-5.34
"Dalmellington Partnership, The",community-energy-member,Not Found,Not Found,A local partnership dedicated to the regeneration and development of Dalmellington.,Not Found,KA6 7QY,55.352,-4.38
Dalry Community Council,community-energy-related,https://dalry.comcouncil.scot/,Not Found on Website,"The official community council for Dalry, representing local interests and addressing community issues.",Not Found,KA24 4DE,55.698,-4.75
Darnick Village Trust,community-energy-group,https://darnickvillage.org.uk/darnick-village-development-trust/,Not Found,Dedicated to the preservation and enhancement of the village of Darnick.,Not Found,TD6 9AD,55.59,-2.76
Development Coll Ltd,community-energy-group,https://www.developmentcoll.org.uk/,https://images.squarespace-cdn.com/content/v1/65cdfea06c47076fcf7763ff/a403a314-e6da-4531-a8d9-372acbf47893/DC+Logo.png?format=2500w,"Works to promote the social, economic, and environmental well-being of the Isle of Coll.","An Cridhe, Coll",PA78 6SY,56.634,-6.536
Dhanakosa Buddhist Retreat Centre,community-energy-member,https://www.dhanakosa.com,https://www.dhanakosa.com/sites/default/files/styles/logo_mobile/public/2023-09/dhanakosa-logo-web_0.png,A Buddhist retreat centre offering a programme of meditation and Buddhism courses.,"Balquhidder, Lochearnhead",FK19 8PB,56.34,-4.28
Dollar Community Development Trust,community-energy-group,https://www.dollarcdt.com/,https://dollarcdt.com/wp-content/uploads/2021/03/DCDT-Logo.png,"Works to enhance the social, environmental, and economic well-being of the community of Dollar.",Not Found,FK14 7AN,56.16,-3.66
Dores Community Development Trust,community-energy-group,https://www.doresonlochness.com/services-information/dores-community-development-trust/,Not Found on Website,A trust focused on promoting community projects and development initiatives in Dores on Loch Ness.,Not Found,IV2 6TS,57.378,-4.24
Dornie Community Council,community-energy-related,https://www.dornie.org.uk,Not Found on Website,"The community council for Dornie, representing local interests and addressing community issues.",Not Found,IV40 8EL,57.276,-5.496
Dornoch & District Community Association,community-energy-related,https://www.dornochareacommunitycouncil.com,Not Found on Website,"A community association serving Dornoch and district, supporting local initiatives and facilities.",Not Found,IV25 3SB,57.873,-4.02
Dream Machine Productions,community-energy-member,https://www.dreammachineproductions.org,https://www.dreammachineproductions.org/wp-content/uploads/2019/04/Dream-Machine-Productions-Logo.png,A theatre company producing innovative and engaging performances and workshops.,Not Found,G4 0UT,55.864,-4.245
Dunadd Community Enterprise,community-energy-group,https://www.dunadd.scot,https://www.dunadd.scot/wp-content/uploads/2021/04/Dunadd-Community-Enterprise-Logo.png,A community enterprise focused on managing and developing local assets for community benefit near Dunadd.,Not Found,PA31 8QS,56.096,-5.494
Dunaverty Village Hall,community-energy-member,https://www.dunavertyhall.com/,https://www.dunavertyhall.com/wp-content/uploads/2019/04/Dunaverty-Hall-Logo.png,"A community hall serving the Dunaverty village, providing a venue for local events and activities.","Dunaverty Village Hall, Dunaverty, Southend",PA28 6RP,55.33,-5.62
Dundee North West Community Sports Club,community-energy-member,Not Found,Not Found,A community sports club providing various sporting opportunities and facilities in North West Dundee.,Not Found,DD3 8LP,56.48,-3
Dunedin Canmore Housing Association,community-energy-related,https://www.wheatleyhomes-east.com,https://www.wheatleyhomes-east.com/wp-content/uploads/2023/10/WHE-logo-blue-and-white.png,A housing association providing affordable homes and community services in Edinburgh and the Lothians.,"Wheatley House, 25 Thistle Street, Edinburgh",EH2 1DX,55.952,-3.19
Dunlop and Lugton Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Dunlop and Lugton.,Not Found,KA3 4AT,55.7,-4.54
Dunoon Allotments,community-energy-member,Not Found,Not Found,A community initiative providing allotment spaces for local residents in Dunoon.,Not Found,PA23 7HS,55.94,-4.92
Durness Community Group,community-energy-group,https://www.durness.scot/durness-community-group.html,Not Found on Website,A community group working to support and enhance the village of Durness.,Not Found,IV27 4PX,58.56,-4.74
East Lothian Climate Hub,community-energy-group,https://www.eastlothianclimatehub.org,https://eastlothianclimatehub.org/wp-content/uploads/2021/11/Screenshot-2024-07-31-103023.png,A local hub supporting communities in East Lothian to take action on climate change.,Not Found,EH21 7DN,55.944,-2.9
Easter Moffat Golf Club,community-energy-member,https://www.emgc.org.uk/,https://www.emgc.org.uk/wp-content/uploads/2019/04/EMGC-Logo.png,A golf club providing facilities and playing opportunities for its members and visitors.,"Easter Moffat Golf Club, Airdrie",ML6 7SL,55.875,-3.91
Eckford Village Hall Trust,community-energy-group,https://www.crailingeckfordnisbet.co.uk,Not Found on Website,"A trust managing the village hall in Eckford, providing a venue for local events and community activities.","Eckford Village Hall, Eckford, Kelso",TD5 8LG,55.545,-2.51
Eday Partnership,community-energy-group,Not Found,Not Found,"A local development trust focused on the social, economic, and environmental well-being of the island of Eday.",Not Found,KW17 2AB,59.08,-2.76
Edinbane Community Hall Association,community-energy-member,https://www.facebook.com/Edinbanehall/,Not Found on Facebook Page,"Manages the Edinbane Community Hall, providing a venue for local events and activities on Skye.","Edinbane Community Hall, Edinbane, Isle of Skye",IV51 9PW,57.439,-6.353
EdinBRIC (Edinburgh Building Retrofit and Improvement Collective),community-energy-related,https://www.edinbric.scot/,https://www.edinbric.scot/wp-content/uploads/2023/02/EdinBRIC-logo.png,A collective aimed at supporting and coordinating building retrofit and improvement projects in Edinburgh.,Not Found,EH1 1PN,55.9533,-3.1883
Edinburgh Communities Climate Action Network (ECCAN),community-energy-group,https://www.eccan.scot/,https://eccan.scot/wp-content/uploads/2022/07/eccanscot-logo.png,A network supporting and connecting community-led climate action groups across Edinburgh.,Not Found,EH1 1PN,55.9533,-3.1883
Edinburgh Community Solar Company,community-energy-group,https://www.edinburghsolar.coop/about-us,https://www.edinburghsolar.coop/assets/img/logo.png,A community benefit society installing solar panels on local buildings to generate renewable energy and community funds.,Not Found,EH1 1PN,55.9533,-3.1883
Edinburgh World Heritage,community-energy-member,https://www.ewh.org.uk/,https://www.ewh.org.uk/wp-content/themes/ewh/dist/images/logo.png,A charity dedicated to conserving and promoting Edinburgh's World Heritage Site.,"5 Bakehouse Close, 142 Canongate, Edinburgh",EH8 8DD,55.952,-3.184
Ekopia Social Investments Ltd.,community-energy-group,https://www.ekopia.org.uk/,https://www.ekopia.org.uk/wp-content/uploads/2019/04/Ekopia-Logo.png,A social enterprise providing ethical investment opportunities to support community-led initiatives and sustainable development.,"The Park, Findhorn, Forres",IV36 3TH,57.653,-3.606
Elgin Youth Development Group,community-energy-related,https://www.elginyouthcafe.org/,https://www.elginyouthcafe.org/wp-content/uploads/2019/04/Elgin-Youth-Development-Group-Logo.png,"Runs the Elgin Youth Cafe, providing a safe space and activities for young people in Elgin.","1 Moray Street, Elgin",IV30 1QS,57.647,-3.31
Energise Galasheils Trust,community-energy-group,https://www.energisegalashiels.co.uk,https://energisegalashiels.co.uk/wp-content/uploads/2015/11/energise_header_logo_960x250_.png,"Works to enhance the social, economic, and environmental well-being of Galashiels.",Not Found,TD1 1RN,55.61,-2.81
Erisort Renewables,community-energy-group,Not Found,Not Found on Linked Page,A community energy project focused on developing renewable energy solutions in the Erisort area of the Isle of Lewis.,Not Found,HS2 9LX,58.077,-6.581
Ettrick & Yarrow Community Development Company,community-energy-group,https://www.ettrickandyarrow.org.uk/,"https://img1.wsimg.com/isteam/ip/0c6496b8-a40d-4c87-81b7-7eea688025fe/EYCDC%20-%20MASTER%20(Hi%20Res)-0001.jpg/:/rs=w:502,h:176,cg:true,m/cr=w:502,h:176/qt=q:95",A community development company working to sustain and enhance the Ettrick and Yarrow valleys.,"Tushielaw, Ettrick, Selkirk",TD7 5BS,55.45,-3.22
Fair Isle Electricity Company Limited,community-energy-group,https://www.fairisle.org.uk,https://www.fairisle.org.uk/wp-content/uploads/2021/04/Fair-Isle-Electricity-Company-Logo.png,"Provides electricity to the remote island of Fair Isle, focusing on renewable energy generation.","Fair Isle, Shetland",ZE2 9JU,59.53,-1.63
Fairfield Sport and Leisure Community Hub,community-energy-member,https://www.fairfieldcommunityhub.co.uk,https://www.fairfieldcommunityhub.co.uk/wp-content/uploads/2019/04/Fairfield-Hub-Logo.png,A community hub providing sports and leisure facilities for the local community in Dundee.,"Fairfield Sports Hub, Fairfield Road, Dundee",DD4 8LP,56.467,-2.92
Falkland Community Hall,community-energy-member,https://www.falklandcommunityhall.org,Not Found on Website,"A community hall providing a venue for local events, meetings, and activities in Falkland.","The Reading Room, High Street, Falkland",KY15 7BW,56.24,-3.21
Fernaig Community Trust,community-energy-group,https://www.communitylandscotland.org.uk/members/fernaig-community-trust/,Not Found on Linked Page,"The Fernaig Community Trust was set up to give the local community access to land, and to involve the community in decision-making concerning the land in this area, creating economic, educational, recreational and environmental benefits, for people resident and visiting.",Not Found,IV40 8EH,57.34,-5.5
Fife Communities Climate Action Network,community-energy-group,https://fccan.org.uk,https://fccan.org.uk/wp-content/uploads/2023/09/Fife-Merged-Logo-e1736161706516.webp,A network connecting and supporting community-led climate action groups across Fife.,Not Found,KY1 1NQ,56.115,-3.16
Fifers for the Community,community-energy-group,https://www.facebook.com/groups/424612613899987,https://scontent.flba1-1.fna.fbcdn.net/v/t39.30808-6/449278511_10228475132276851_2620904608085249653_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=2285d6&_nc_ohc=yrCucfk9OtkQ7kNvwFKiiLp&_nc_oc=AdnR4FdmCEXq2MOnwcNAyUF-AGuBbxlVtAoghaSkAJ7KYFGuuhnloLJi_B_wN_LEWw8T-Xpzm9RjFKznJp7r2PZH&_nc_zt=23&_nc_ht=scontent.flba1-1.fna&_nc_gid=D66zc_6e9ArT1nHCc4AFlw&oh=00_AfOUoOm1nObwu9ShdkosIj-pHg-n-PToKURh84bS6Ppa0g&oe=6864B14E,A Facebook group for community members in Fife to share information and support local initiatives.,Not Found,KY1 1NQ,56.115,-3.16
Fintry Development Trust,community-energy-group,https://www.fintrydt.org.uk/,https://fintrydt.org.uk/wp-content/uploads/fdt-logo.webp,"A community trust focused on sustainable development and local projects in Fintry, benefiting from community-owned wind turbines.","The Sport Hall, Main Street, Fintry",G63 0XD,56.05,-4.14
Focus Youth Project,community-energy-member,https://www.focusyouthcentre.org/,https://www.focusyouthcentre.org/wp-content/uploads/2019/04/Focus-Youth-Project-Logo.png,"Provides a safe and engaging environment for young people, offering various activities and support.","The Focus Youth Centre, 15 Glebe Street, Blantyre",G72 0JR,55.79,-4.06
Formartine Partnership Limited,community-energy-related,https://www.frp.scot/contact-us.html,https://www.frp.scot/assets/images/formartine-options-v4-538x121.jpeg,"A partnership working to enhance the social, economic, and environmental well-being of the Formartine area of Aberdeenshire.",Not Found,AB51 0HG,57.25,-2.38
Forres Area Community Trust,community-energy-group,https://www.forresarea.org/,https://forresarea.org/wp-content/uploads/2023/09/FACT-logo.webp,A community development trust working to improve the quality of life and opportunities for residents in the Forres area.,"Forres Town Hall, High Street, Forres",IV36 1NX,57.64,-3.61
Forward Coupar Angus,community-energy-group,https://www.coupar-angus.co.uk/forward-coupar-angus.html,https://www.coupar-angus.co.uk/uploads/3/3/7/0/3370470/1481496334.png,A local group working on community development and regeneration projects in Coupar Angus.,Not Found,PH13 9AE,56.54,-3.22
Fossoway & District Community Council,community-energy-related,https://www.fossoway.org/,Not Found on Website,The community council representing the interests of residents in the Fossoway and District area.,Not Found,KY13 0AA,56.17,-3.42
Foula Electricity Trust,community-energy-group,Not Found,Not Found,A trust responsible for providing and managing electricity supply on the remote island of Foula.,Not Found,ZE2 9PN,60.13,-2.08
Fyne Homes Limited,community-energy-member,https://www.fynehomes.org.uk/,https://fynehomes.org.uk/img/site/logo.png?id=2023110810,A housing association providing affordable homes and community services in Argyll and Bute.,"Struan House, Straad Road, Ardrishaig",PA30 8AE,56.02,-5.42
G3 Growers,community-energy-related,https://g3growers.wixsite.com/g3growers,Not Found on Linked Site,A community gardening or growing initiative located in Glasgow,Not Found,G3 8HT,55.86,-4.28
Gallan Head Community Trust,community-energy-related,https://www.gallanhead.org.uk/home,https://www.gallanhead.org.uk/wp-content/uploads/2019/04/Gallan-Head-Community-Trust-Logo.png,Working to develop the former RAF radar station at Gallan Head into a community asset and visitor attraction.,Not Found,HS2 9AJ,58.21,-7.01
Galston Community Development Trust,community-energy-related,http://www.galstontrust.co.uk/trust/welcome.html,https://www.galstontrust.co.uk/wp-content/uploads/2019/04/Galston-CDT-Logo.png,"Works to enhance the social, economic, and environmental well-being of the community of Galston.","Galston Community Development Trust, 57-59 Henrietta Street, Galston",KA4 8HF,55.6,-4.37
Garadh a Bhagh a Tuath,community-energy-related,https://www.garadh.co.uk,Not Found on Website,"A community garden and growing project on the Isle of Barra, promoting food growing and local produce.","Garadh a Bh√†gh a Tuath, Eoligarry, Isle of Barra",HS9 5YD,56.99,-7.44
Garioch Partnership,community-energy-related,https://www.gariochpartnership.org.uk,https://www.gariochpartnership.org.uk/wp-content/uploads/2019/04/Garioch-Partnership-Logo.png,A community planning partnership working to improve the quality of life in the Garioch area of Aberdeenshire.,"Kintore Business Park, Midmill Road, Kintore",AB51 0XD,57.26,-2.38
Garioch Sports Trust,community-energy-member,https://www.gariochsports.co.uk,https://www.gariochsports.co.uk/wp-content/uploads/2019/04/Garioch-Sports-Trust-Logo.png,Provides and maintains multi-sport facilities for the community in the Garioch area.,"Garioch Sports Centre, Burghmuir Drive, Inverurie",AB51 4GY,57.29,-2.38
Gatehouse Development Initiative,community-energy-member,https://www.gatehouse-of-fleet.co.uk/index.php/community,Not Found on Website,"A community initiative working to enhance the social, economic, and environmental well-being of Gatehouse of Fleet.",Not Found,DG7 2HP,54.88,-4.19
Gigha Renewable Energy Limited,community-energy-group,https://www.gigha.org.uk/,Not Found,"A community-owned renewable energy project on the Isle of Gigha, generating electricity from wind turbines.",Not Found,PA41 7AD,55.67,-5.73
Giving Back Dundee,community-energy-member,https://www.givingbackdundee.com/,Not Found on Website,A volunteer-led organization providing support and aid to vulnerable individuals and families in Dundee.,Not Found,DD1 1QZ,56.46,-2.97
Glasgow Community Energy,community-energy-group,https://www.glasgowenergy.coop/,https://www.glasgowenergy.coop/wp-content/uploads/2021/04/Glasgow-Community-Energy-Logo.png,A co-operative developing renewable energy projects to benefit the community of Glasgow.,Not Found,G2 1AX,55.86,-4.25
Glasgow Council For The Voluntary Sector,community-energy-related,https://www.gcvs.org.uk,https://www.gcvs.org.uk/wp-content/uploads/2019/04/GCVS-Logo.png,"Supports the voluntary sector in Glasgow, providing leadership, representation, and development services.","11 Queen's Crescent, Glasgow",G4 9AS,55.87,-4.26
Glenbarr Church Hall Finance Committee,community-energy-member,Not Found,Not Found,A committee responsible for the financial management and upkeep of Glenbarr Church Hall.,"Glenbarr Church Hall, Glenbarr, Tarbert",PA29 6UZ,55.69,-5.53
Glencairn Memorial Institute,community-energy-member,https://www.glencairnmemorialinstitute.org,Not Found on Website,A community building providing a venue for local events and activities in the Glencairn parish.,"The Institute, Moniaive, Dumfries",DG3 4JW,55.22,-3.9
Glendale Community Hall Association,community-energy-member,Not Found,Not Found,"An association managing the community hall in Glendale, Isle of Skye, for local use and events.",Not Found,IV55 8WS,57.43,-6.72
"Glendale Trust, The",community-energy-related,https://theglendaletrust.org/,Not Found,"A community land trust working for the social, economic, and environmental benefit of Glendale, Isle of Skye.","The Glendale Trust Office, Glendale, Isle of Skye",IV55 8WS,57.43,-6.72
Glenelg & Arnisdale Development Trust,community-energy-group,Not Found,Not Found,"A development trust focused on improving the social, economic, and environmental well-being of Glenelg and Arnisdale.",Not Found,IV40 8LA,57.22,-5.62
Glenriddell Hall Committee,community-energy-member,Not Found,Not Found,A committee responsible for the management and maintenance of Glenriddell Hall for community use.,"Glenriddell Hall, Holywood, Dumfries",DG2 0RN,55.1,-3.66
Glenrothes YMCA-YWCA,community-energy-member,https://www.ymca.scot/glenrothes,Not Found on Website,Provides youth work and community support services in Glenrothes as part of YMCA Scotland.,Not Found,KY7 5PA,56.19,-3.17
Glenwood Tenants Residents Association,community-energy-member,Not Found,Not Found,A residents' association representing the interests of tenants in the Glenwood area of Falkirk.,Not Found,FK2 7HR,56,-3.78
Great Bernera Community Development Trust,community-energy-group,https://www.greatbernera.org/,http://greatbernera.org/wp-content/uploads/2022/05/trustlogosmall.png,A community development trust working to sustain and enhance the quality of life on Great Bernera.,Not Found,HS2 9QB,58.1994,-6.9536
"Greener Hawick, A",community-energy-group,https://greenhawick.org/,https://greenhawick.org/wp-content/uploads/2021/05/cropped-Logo7-1-300x250.jpg,A community group promoting environmental sustainability and green initiatives in Hawick.,Not Found,TD9 0AH,55.42,-2.78
Greener Kemnay,community-energy-group,https://greenerkemnay.org.uk/,https://greenerkemnay.org.uk/wp-content/uploads/2023/07/Logo-Landscape-original.png,A local group encouraging and supporting environmental sustainability within the Kemnay community.,Not Found,AB51 5RF,57.24,-2.56
Greener Kirkaldy Ltd,community-energy-group,https://www.greenerkirkcaldy.org.uk,https://www.greenerkirkcaldy.org.uk,"A community charity working to tackle the climate crisis and fuel poverty, by promoting greener living.","8 East Fergus Place, Kirkcaldy",KY1 1XT,56.113,-3.155
Greener Peebles,community-energy-group,https://www.greenerpeebles.org/,https://greenerpeebles.org/wp-content/uploads/2022/07/Greener-Peebles-Logo-final-1.jpg,A community group promoting sustainable living and environmental projects in Peebles.,Not Found,EH45 8AB,55.654,-3.2
Greyfriars Charteris Centre,community-energy-member,https://www.charteriscentre.com/,https://www.charteriscentre.com/wp-content/uploads/2022/07/GCC-Logo-Small.png,"A community hub providing a range of services, facilities, and activities for the local community in Edinburgh.","138-140 Pleasance, Edinburgh",EH8 9RR,55.945,-3.18
Hawick Community Council,community-energy-related,Not Found,Not Found,"The official community council for Hawick, representing local interests and addressing community issues.",Not Found,TD9 0DA,55.42,-2.78
Hawick Community Energy Group- Limited,community-energy-group,https://www.facebook.com/profile.php?id=100067445717652,Not Found on Facebook Page,A community group focused on exploring and developing local renewable energy opportunities in Hawick.,Not Found on Facebook page,TD9 0AH,55.42,-2.78
Healthy N Happy Community Development Trust,community-energy-related,https://www.healthynhappy.org.uk,https://www.healthynhappy.org.uk/wp-content/uploads/2019/04/Healthy-N-Happy-Logo.png,"A community development trust working to improve health, well-being, and opportunities in Cambuslang and Halfway.","18 Farmeloan Road, Rutherglen, Glasgow",G73 1EE,55.82,-4.18
Hebridean Celtic Festival Trust,community-energy-member,https://www.hebceltfest.com/,https://www.hebceltfest.com/wp-content/uploads/2023/10/hebcelt-logo-black-transparent.png,"Organizes the annual Hebridean Celtic Festival, a major music and cultural event in Stornoway.","PO Box 18, Stornoway, Isle of Lewis",HS1 2XT,58.2,-6.39
Helensburgh Community Council,community-energy-related,https://www.helensburghcommunitycouncil.co.uk/,Not Found on Website,"The official community council for Helensburgh, representing local interests and addressing community issues.",Not Found,G84 8TQ,56,-4.73
Helmsdale and District Development Trust,community-energy-group,https://www.helmsdale.scot/helmsdale-district-development-trust,Not Found on Website,"Works for the social, economic, and environmental development of Helmsdale and its surrounding district.",Not Found,KW8 6HZ,58.11,-3.66
Here We Are,community-energy-group,https://www.hereweare-uk.com/,Not Found on Website,"A community centre and visitor information point based in Ardnamurchan, promoting local culture and services.","Invercaimbe, Acharacle",PH36 4JX,56.77,-5.9
Highland People's Power Society Ltd,community-energy-group,https://highlandpeoplespower.org.uk/,https://highlandpeoplespower.org.uk/wp-content/uploads/HHP_Master_Logo_FULL-COLOUR.svg,A community benefit society promoting and supporting local energy generation and sustainability in the Highlands.,Not Found,IV2 6BA,57.47,-4.22
Hillcrest Housing Association,community-energy-related,https://www.hillcrest.org.uk/,https://www.hillcrest.org.uk/wp-content/uploads/2023/04/Hillcrest-Logo.png,Provides affordable housing and care services across Scotland.,"100 Alexander Street, Dundee",DD5 3NY,56.49,-2.9
Hjaltland Housing Association Limited,community-energy-related,https://www.hjaltland.org.uk,https://www.hjaltland.org.uk/wp-content/uploads/2019/04/Hjaltland-Housing-Association-Logo.png,A housing association providing affordable homes and community services throughout Shetland.,"Gremista, Lerwick, Shetland",ZE1 0PX,60.15,-1.13
Hobkirk Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Hobkirk and the surrounding area.,Not Found,TD9 8ND,55.45,-2.56
Homeaid Caithness Sutherland,community-energy-related,Not Found,Not Found,,Not Found,KW1 4DU,58.44,-3.52
Homelands Trust Fife,community-energy-member,https://www.homelands-fife.co.uk,https://www.homelands-fife.co.uk/wp-content/uploads/2019/04/Homelands-Trust-Fife-Logo.png,Provides high-quality self-catering accessible holidays for people with disabilities and their families.,"123 Main Street, Lundin Links, Leven",KY8 6DP,56.2,-2.99
Hope Amplified,community-energy-member,https://www.hopeamplified.org.uk,https://www.hopeamplified.org.uk/wp-content/uploads/2020/04/Hope-Amplified-Logo.png,"A charity focused on supporting young people through music and creative arts, building confidence and community.",Not Found,G72 0JH,55.8,-4.06
Horshader Community Development Ltd,community-energy-group,https://www.horshader.com,https://www.horshader.com/wp-content/uploads/2019/04/Horshader-Community-Development-Logo.png,A community development company working to improve opportunities and facilities in the Horshader area of the Isle of Lewis.,Not Found,HS2 0HD,58.26,-6.42
Huntly and District Development Trust,community-energy-group,https://www.huntlydt.org,https://www.huntlydt.org/wp-content/uploads/2019/04/Huntly-DT-Logo.png,"Works to enhance the social, economic, and environmental well-being of Huntly and its surrounding district.","Gordon Street, Huntly",AB54 8AJ,57.44,-2.78
Hutton & Paxton Community Council,community-energy-related,https://hpcommunityhub.uk/,Not Found on Website,"The official community council for Hutton & Paxton, representing local interests and addressing community issues.",Not Found,TD15 1XX,55.78,-2.15
ILM Highland,community-energy-member,https://www.ilmhighland.co.uk,https://www.ilmhighland.co.uk/wp-content/uploads/2019/04/ILM-Highland-Logo.png,"A social enterprise providing a range of services, including electrical recycling, handyperson services, and supported employment.","Unit 19, Teaninich Industrial Estate, Alness",IV17 0XS,57.69,-4.24
Impact Arts Projects Limited,community-energy-member,https://www.impactarts.co.uk,https://www.impactarts.co.uk/wp-content/uploads/2019/04/Impact-Arts-Logo.png,"A national charity that uses the arts to tackle inequalities and improve lives, particularly for young people and older adults.","103 Norfolk Street, Glasgow",G5 9EJ,55.85,-4.26
Independence from Drugs & Alcohol,community-energy-member,https://www.rivergarden.scot,https://www.rivergarden.scot/wp-content/uploads/2020/04/River-Garden-Logo.png,River Garden is a therapeutic community helping individuals recover from drug and alcohol addiction.,"River Garden, Station Road, Auchincruive",KA6 5HW,55.49,-4.54
Inspiralba,community-energy-related,https://www.inspiralba.org.uk/,https://www.inspiralba.org.uk/wp-content/uploads/2019/04/Inspiralba-Logo.png,A community support agency working with community groups and social enterprises across Argyll & Bute.,Not Found,PA31 8QS,56.096,-5.494
Intergenerational Wisdom For Scotland,community-energy-member,Not Found,Not Found,An organization focused on fostering connections and knowledge exchange between different generations in Scotland.,Not Found,EH8 9JG,55.953,-3.189
Inverness College UHI,community-energy-related,https://www.uhi.ac.uk/en/campuses/inverness-college-uhi/,https://www.uhi.ac.uk/en/media/inverness-college-uhi/inverness-college-uhi-logo.png,"A college that is part of the University of the Highlands and Islands, offering a wide range of courses and training.","1 Inverness Campus, Inverness",IV2 5NA,57.481,-4.2
Inverness Old Town Art (IOTA),community-energy-member,http://www.iotagallery.com/,Not Found on Website,An art gallery and creative hub in Inverness promoting and selling art from local and Highland artists.,"82 Church St, Inverness",IV1 1EP,57.478,-4.225
Inverness BID,community-energy-member,https://www.invernessbid.co.uk,https://www.invernessbid.co.uk/images/logo.png,"A Business Improvement District (BID) working to enhance Inverness city centre for businesses, residents, and visitors.","12-14 Castle Street, Inverness",IV2 3EP,57.478,-4.225
Islay & Jura Community Enterprises,community-energy-related,https://www.ijce.co.uk/,Not Found on Website,,Not Found,PA42 7DA,55.85,-6
Islay & Jura Community Fund,community-energy-related,https://www.islayenergytrust.org.uk/community-benefit-fund,https://lirp.cdn-website.com/104a4d98/dms3rep/multi/opt/IET-Logo-v2-1920w.png,"A fund that distributes grants for projects and initiatives that benefit the communities of Islay and Jura, funded by local renewable energy projects.",Not Found,PA42 7DA,55.85,-6
Isle of Eigg Heritage Trust,community-energy-related,https://isleofeigg.org/ieht/,Not Found,"The Isle of Eigg Heritage Trust is the charity which owns the Isle of Eigg.  It manages and stewards the island’s development for current and future residents.

The Isle of Eigg Heritage Trust was established to provide and create opportunity for economic development, housing and infrastructure, whilst conserving our natural and cultural heritage to ensure that development takes place in a sustainable way. The Trust has been successful in these aims, with Eigg now a vibrant and attractive place to live and work, having a growing and forward-thinking population, always with an eye on the past and one to the future, recognising the importance of Eigg’s unique identity to its continuing growth and success.

The Isle of Eigg Heritage Trust is a company limited by guarantee and a registered Scottish charity. The Trust is a partnership of its three members, The Isle of Eigg Residents’ Association, The Highland Council and The Scottish Wildlife Trust.  Each member organisation appoints directors to the board of the Trust.  The Isle of Eigg Residents’ Association has four directors who are elected by the community. The Highland Council and The Scottish Wildlife Trust appoint one director each. The Trust has an independent Chairperson.  ","An Laimhrig, Isle of Eigg",PH42 4QS,56.89,-6.13
Isle of Gigha Heritage Trust,community-energy-group,https://www.gigha.org.uk,https://www.gigha.org.uk/wp-content/uploads/2019/04/Isle-of-Gigha-Heritage-Trust-Logo.png,"A community trust that owns and manages the Isle of Gigha on behalf of its residents, focusing on sustainable development and community well-being.","Gigha Heritage Trust Office, Isle of Gigha",PA41 7AD,55.67,-5.73
Isle of Lismore Community Trust,community-energy-related,https://isleoflismore.com/island-groups/community-trust,Not Found on Website,"A community trust working for the social, economic, and environmental well-being of the Isle of Lismore.","Lismore, Isle of Lismore",PA34 6BJ,56.55,-5.58
Isle of Rum Community Trust,community-energy-member,https://www.isleofrum.com/,https://www.isleofrum.com/images/rum_logo.png,A community body working to regenerate the Isle of Rum through sustainable development and community initiatives.,"Isle of Rum Community Trust, Kinloch, Isle of Rum",PH43 4RR,57.01,-6.32
Isles of Scilly Community Venture,community-energy-group,https://www.ioscv.co.uk/,"https://static.wixstatic.com/media/f2ee4f_c2d38b53c16c442681e354c9aa2493b6~mv2.png/v1/fill/w_554,h_218,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/IoSCV%2BLogo-lrg-text.png",An organization focused on community development and initiatives on the Isles of Scilly.,Not Found,TR21 0PT,49.95,-6.3
Jamestown Community Association,community-energy-related,Not Found,Not Found,"A community association serving the Jamestown area, organizing local events and representing residents' interests.",Not Found,G82 1JU,55.97,-4.56
John Muir Trust,community-energy-member,https://www.johnmuirtrust.org/,https://www.johnmuirtrust.org/assets/images/logo.png,"A conservation charity dedicated to protecting and enhancing wild places, particularly in the UK.","Tower House, Station Road, Pitlochry",PH16 5AF,56.7,-3.73
